한글	출현수	영문약어	영문명	도메인분류	비고
사료	2	HISTMT	Historical Material		사료(史料)
무단	2	UNAUTH	Unauthorized		
증정인	2	DONOR	Donor		증정인
액션	2	ACTION	Action		
포탈	2	PORTAL	Portal		포탈=포털
마스터	2	MASTER	Master		
코너	2	CORNER	Corner		
메서드	2	METHOD	Method		
롤필름	2	ROLFLM	Roll Film		
파싱	2	PARSNG	Parsing		
현상기	2	FLMDEV	Film Developer		필름 현상기
경향	2	TENDNC	Tendency		
타당성	2	VALDTY	Validity		
앨범	2	ALBUM	Album		
색채	2	COLOR	Color		
재생	2	PLAY	Play		
잉크	2	INK	Ink		
두께	2	THCKNS	Thickness		
신조어	2	NEWWRD	New Word		
복제본	2	DUPLCT	Duplicate		
네트워크	2	NETWRK	Network		
드라이브	2	DRIVE	Drive		
클립	2	CLIP	Clip		
워커	2	WORKER	Worker		
라이센스	2	LICENS	License		라이센스=라이선스
시청	2	WATCH	Watching		시청(視聽)
인화	2	PHTPRT	Photo Print		사진 인화
훈장류	2	MEDAL	Medal		
질소	2	NITRGN	Nitrogen		서고 환경 측정
포름알데히드	2	FORMALD	Formaldehyde		서고 환경 측정
마이그레이션	1	MGRTN	Migration		마이그레션(오타)도 동의어로 흡수
진본	1	AUTHEN	Authentic		진본(眞本)
시점	1	TMPNT	Time Point		
타겟	1	TARGET	Target		
음화	1	NEGTV	Negative		음화(陰畫)
양화	1	POSTV	Positive		양화(陽畫)
편집자	1	EDITOR	Editor		
감독	1	DRCTR	Director		
감독관	1	SUPVSR	Supervisor		
워터마크	1	WTRMRK	Watermark		
되감기	1	REWIND	Rewind		
세척	1	CLEAN	Cleaning		
음향	1	SOUND	Sound		
용기	1	CONTNR	Container		용기(容器)
변색	1	DISCLR	Discoloration		
작사자	1	LYRICST	Lyricist		
작곡자	1	COMPSR	Composer		
기구	1	MCHNRY	Machinery		機構(조직체) 의미 — Machinery 오등록, XLSX 검토 시 영문명 재결정
샘플링	1	SAMPLNG	Sampling		
실물	1	REALOBJ	Real Object		
획득	1	ACQUIRE	Acquisition		
손망실	1	LSDMG	Loss and Damage		손망실(損亡失)
오브젝트	1	OBJECT	Object		
어셋	1	ASSET	Asset		어셋=에셋
시트	1	SHEET	Sheet		
합사	1	ENSHRN	Enshrinement		야스쿠니 합사 — 총독부 기록
디지털사인	1	DGTLSGN	Digital Sign		
타임스탬프	1	TMSTMP	Timestamp		
커트	1	CUT	Cut		
기록물건		RCDSI	Records Item		기록물철 안의 상세 건 — DSID 핵심키 [검토완료]
광		OPTIC	Optical		광(光) — 확인필요
주간지		WKMGZ	Weekly Magazine		보도매체 주/월간지 [검토완료]
월간지		MTMGZ	Monthly Magazine		보도매체 주/월간지 [검토완료]
회로		CIRC	Circuit		폐쇄회로감시장치 2건 [검토완료]
